条形码,登录号,读者条码,外借时间,应归还时间,主键码,虚拟库室,续借次数,处理时间,流通库室键码,签到键码,附件,备注
10938695,10938695,1.31411E+11,2015/6/13 16:33,2015/7/13 23:59,675355,8,0,,0,0,,
10740947,10740947,9.7E+11,2015/6/13 16:44,2015/7/13 23:59,671694,8,0,,0,0,,
10726079,10726079,9.7E+11,2015/6/13 16:44,2015/7/13 23:59,663110,8,0,,0,0,,
11092308,11092308,9.7E+11,2015/6/13 16:45,2015/7/13 23:59,633785,8,0,,0,0,,
11087646,11087646,1.21403E+11,2015/6/24 16:03,2015/7/24 23:59,634353,8,0,,0,0,,
11503155,11503155,1.21402E+11,2015/6/3 20:54,2015/8/3 23:59,435023,8,1,,0,0,,
11031882,11031882,1.31403E+11,2015/6/24 16:04,2015/7/24 23:59,357498,8,0,,0,0,,
10686854,10686854,1.31403E+11,2015/6/24 16:04,2015/7/24 23:59,636759,8,0,,0,0,,
10762491,10762491,1.21402E+11,2015/6/3 20:55,2015/8/3 23:59,622017,8,1,,0,0,,
10799101,10799101,1.31403E+11,2015/5/28 10:57,2015/7/29 23:59,692920,8,1,,0,0,,
10171145,10171145,1.21402E+11,2015/6/3 20:55,2015/7/3 23:59,246086,8,0,,0,0,,
11203433,11203433,1.21402E+11,2015/6/3 20:55,2015/7/3 23:59,340696,8,0,,0,0,,
11090197,11090197,1.31403E+11,2015/5/28 10:57,2015/7/29 23:59,633782,8,1,,0,0,,
10762487,10762487,1.21402E+11,2015/6/3 20:55,2015/7/3 23:59,622017,8,0,,0,0,,
10885378,10885378,1.41406E+11,2015/6/13 16:51,2015/7/13 23:59,677480,8,0,,0,0,,
10910492,10910492,1.41409E+11,2014/12/7 17:16,2015/1/6 23:59,625504,27,0,,0,0,,
10462387,10462387,1.41406E+11,2015/6/13 16:51,2015/7/13 23:59,411801,8,0,,0,0,,
11502386,11502386,1.41409E+11,2014/12/7 17:16,2015/1/6 23:59,433713,27,0,,0,0,,
11483590,11483590,9.6E+11,2015/6/13 16:55,2015/7/13 23:59,392706,8,0,,0,0,,
10738198,10738198,1.31413E+11,2015/6/13 17:08,2015/7/13 23:59,676320,8,0,,0,0,,
10252793,10252793,1.31413E+11,2015/6/13 17:08,2015/7/13 23:59,282948,8,0,,0,0,,
11208800,11208800,1.21402E+11,2015/6/3 20:56,2015/7/3 23:59,343039,8,0,,0,0,,
10766432,10766432,1.3143E+11,2015/4/14 16:55,2015/5/14 23:59,629500,8,0,,0,0,,
11046764,11046764,1.31403E+11,2015/5/28 10:57,2015/7/29 23:59,409736,8,1,,0,0,,
11420642,11420642,1.41413E+11,2015/4/1 11:17,2015/5/8 23:59,350134,7,0,,0,0,,
11216561,11216561,1.21412E+11,2015/6/24 16:04,2015/7/24 23:59,374293,8,0,,0,0,,
